word,class_a,class_b
quality,0.00003227862912662099,0.00003227862912662099
ride,0.0007343388126306276,0.0007343388126306276
environmentally,0.000008069657281655247,0.000008069657281655247
onto,0.00008876623009820772,0.00008876623009820772
tenth,0.000008069657281655247,0.000008069657281655247
motomatters,0.000008069657281655247,0.000008069657281655247
samrakasim,0.000008069657281655247,0.000008069657281655247
mclortie,0.000008069657281655247,0.000008069657281655247
yoty,0.000008069657281655247,0.000008069657281655247
website,0.000008069657281655247,0.000008069657281655247
jobbers,0.000008069657281655247,0.000008069657281655247
dude,0.00008069657281655248,0.00008069657281655248
aarpca,0.000056487600971586734,0.000056487600971586734
xupmfokejs,0.000008069657281655247,0.000008069657281655247
dteyd,0.000008069657281655247,0.000008069657281655247
deaths,0.00019367177475972596,0.00019367177475972596
skimmer,0.000008069657281655247,0.000008069657281655247
qjblalmro,0.000008069657281655247,0.000008069657281655247
goods,0.000024208971844965745,0.000024208971844965745
getonitgoogle,0.000008069657281655247,0.000008069657281655247
bipulsinha,0.000008069657281655247,0.000008069657281655247
mediatwit,0.000008069657281655247,0.000008069657281655247
branded,0.000008069657281655247,0.000008069657281655247
play,0.00008876623009820772,0.00008876623009820772
focused,0.000016139314563310495,0.000016139314563310495
'fourth,0.000008069657281655247,0.000008069657281655247
brookings,0.000008069657281655247,0.000008069657281655247
erbalolx,0.000008069657281655247,0.000008069657281655247
gpk,0.000008069657281655247,0.000008069657281655247
possiblytully,0.000008069657281655247,0.000008069657281655247
planet',0.000008069657281655247,0.000008069657281655247
bond,0.00003227862912662099,0.00003227862912662099
globalbc,0.000008069657281655247,0.000008069657281655247
scheme,0.000008069657281655247,0.000008069657281655247
innovating,0.000016139314563310495,0.000016139314563310495
jaredcohen,0.000008069657281655247,0.000008069657281655247
invbhygg,0.000008069657281655247,0.000008069657281655247
ill,0.000008069657281655247,0.000008069657281655247
ceothncnk,0.000008069657281655247,0.000008069657281655247
peter,0.00004034828640827624,0.00004034828640827624
relativism,0.000008069657281655247,0.000008069657281655247
omgfacts,0.000008069657281655247,0.000008069657281655247
politicians,0.000008069657281655247,0.000008069657281655247
iwuloqapvo,0.000008069657281655247,0.000008069657281655247
terms,0.000016139314563310495,0.000016139314563310495
alcoholics,0.000008069657281655247,0.000008069657281655247
anything,0.00007262691553489724,0.00007262691553489724
iib,0.000008069657281655247,0.000008069657281655247
qualcomm,0.00004034828640827624,0.00004034828640827624
asallal,0.000008069657281655247,0.000008069657281655247
jetson's,0.000008069657281655247,0.000008069657281655247
bnkwwii,0.000008069657281655247,0.000008069657281655247
lhz,0.000008069657281655247,0.000008069657281655247
ywhqg,0.000008069657281655247,0.000008069657281655247
kt,0.000008069657281655247,0.000008069657281655247
integrate,0.000016139314563310495,0.000016139314563310495
operation,0.000008069657281655247,0.000008069657281655247
email,0.000024208971844965745,0.000024208971844965745
printed,0.000016139314563310495,0.000016139314563310495
barrels,0.000008069657281655247,0.000008069657281655247
twin,0.000008069657281655247,0.000008069657281655247
kahnjosh,0.000008069657281655247,0.000008069657281655247
brazil,0.000008069657281655247,0.000008069657281655247
qdrhhldloa,0.000008069657281655247,0.000008069657281655247
jeyvzgg,0.000008069657281655247,0.000008069657281655247
cyclists',0.000056487600971586734,0.000056487600971586734
imm,0.000008069657281655247,0.000008069657281655247
varneyco,0.00004841794368993149,0.00004841794368993149
usarmy,0.000016139314563310495,0.000016139314563310495
qr,0.000016139314563310495,0.000016139314563310495
ain't,0.00003227862912662099,0.00003227862912662099
ddqmcnyf,0.000008069657281655247,0.000008069657281655247
cbcthisisthat,0.000008069657281655247,0.000008069657281655247
gphbxhou,0.000008069657281655247,0.000008069657281655247
jynl,0.000008069657281655247,0.000008069657281655247
prrosado,0.000008069657281655247,0.000008069657281655247
novatelinc,0.000008069657281655247,0.000008069657281655247
portions,0.000008069657281655247,0.000008069657281655247
nlcusummit,0.000008069657281655247,0.000008069657281655247
ngtnr,0.000008069657281655247,0.000008069657281655247
harsh,0,0
laz,0.000008069657281655247,0.000008069657281655247
chomping,0.000008069657281655247,0.000008069657281655247
yrb,0.000008069657281655247,0.000008069657281655247
experienced,0.000016139314563310495,0.000016139314563310495
thisneedstohappen,0,0
gov,0.00012104485922482873,0.00012104485922482873
commercialize,0.000008069657281655247,0.000008069657281655247
sclcsvlipx,0.000008069657281655247,0.000008069657281655247
airandspace,0.000008069657281655247,0.000008069657281655247
converge,0.000016139314563310495,0.000016139314563310495
everyone,0.00024208971844965745,0.00024208971844965745
tpy,0.000008069657281655247,0.000008069657281655247
usfjuc,0.000008069657281655247,0.000008069657281655247
antifragility,0.000008069657281655247,0.000008069657281655247
gbjqdgp,0.000008069657281655247,0.000008069657281655247
